price,datetime,room,location,area
$2888,2016-10-19 18:16,2, (corte madera),
$2204,2016-10-19 18:15,1," (101 2nd St., #130, Petaluma, CA 94952)",750ft
$2424,2016-10-19 18:15,2, (dublin / pleasanton / livermore),1010ft
$2150,2016-10-19 18:15,4, (pittsburg / antioch),
$5600,2016-10-19 18:15,3, (los altos),2277ft
$4280,2016-10-19 18:15,3, (lower pac hts),
$1895,2016-10-19 18:15,2," (1 Lakeville Circle, Petaluma, CA 94954)",1028ft
$8374,2016-10-19 18:14,3, (laurel hts / presidio),1700ft
$3500,2016-10-19 18:14,4, (south san francisco),1500ft
$180,2016-10-19 18:14,, (mountain view),405ft
$4593,2016-10-19 18:13,3, (san mateo),1367ft
$1975,2016-10-19 18:13,2, (san leandro),875ft
$2295,2016-10-19 18:13,2, (san leandro),
$2985,2016-10-19 18:12,2, (cupertino),1147ft
$1675,2016-10-19 18:12,1, (oakland rockridge / claremont),400ft
$2495,2016-10-19 18:12,1, (richmond / seacliff),
$4095,2016-10-19 18:12,6, (hayward / castro valley),
$2250,2016-10-19 18:11,, (dublin / pleasanton / livermore),644ft
$2698,2016-10-19 18:11,1, (sunnyvale),700ft
$2555,2016-10-19 18:11,2, (sunnyvale),1000ft
$2375,2016-10-19 18:11,, (san jose north),592ft
$3028,2016-10-19 18:10,2, (sunnyvale),900ft
$2291,2016-10-19 18:10,1, (san jose south),761ft
$2574,2016-10-19 18:10,1, (sunnyvale),868ft
$3795,2016-10-19 18:10,3, (palo alto),
$1895,2016-10-19 18:10,1, (concord / pleasant hill / martinez),750ft
$2250,2016-10-19 18:10,1, (san jose north),640ft
$1875,2016-10-19 18:09,1, (sunnyvale),600ft
$2591,2016-10-19 18:09,2, (san jose north),1151ft
$3460,2016-10-19 18:08,2, (sunnyvale),1036ft
$4500,2016-10-19 18:08,2, (SOMA / south beach),1011ft
$1851,2016-10-19 18:08,2, (napa county),895ft
$1295,2016-10-19 18:07,1, (milpitas),1500ft
$3678,2016-10-19 18:07,2, (mountain view),1030ft
$4395,2016-10-19 18:07,3,,
$3077,2016-10-19 18:06,3, (dublin / pleasanton / livermore),1305ft
$2395,2016-10-19 18:06,1, (Outer Mission),
$1650,2016-10-19 18:06,, (oakland downtown),340ft
$3627,2016-10-19 18:06,2, (san jose downtown),1240ft
$4565,2016-10-19 18:05,2, (foster city),1105ft
$2200,2016-10-19 18:05,2, (oakland downtown),
$2350,2016-10-19 18:05,2, (san leandro),950ft
$2295,2016-10-19 18:05,2, (mountain view),
$4700,2016-10-19 18:05,3, (emeryville),1260ft
$2434,2016-10-19 18:05,2, (fremont / union city / newark),1106ft
$1950,2016-10-19 18:05,, (nob hill),
$2350,2016-10-19 18:04,3, (santa rosa),1341ft
$2197,2016-10-19 18:04,1, (fremont / union city / newark),734ft
$2625,2016-10-19 18:04,2, (alameda),980ft
$4999,2016-10-19 18:04,3, (san mateo),1360ft
$2950,2016-10-19 18:04,3, (sunnyvale),850ft
$2800,2016-10-19 18:04,4, (santa rosa),1418ft
